Game,Baseline score,Variant score,Winner
339,164,232,variant
340,124,217,variant
341,217,198,baseline
342,213,122,baseline
343,171,211,variant
344,205,186,baseline
345,210,205,baseline
346,215,179,baseline
347,217,210,baseline
348,218,181,baseline
349,147,211,variant
350,184,221,variant
351,122,234,variant
352,166,219,variant
353,167,210,variant
354,80,209,variant
355,131,211,variant
356,138,208,variant
357,201,188,baseline
358,113,207,variant
359,79,201,variant
360,201,89,baseline
361,117,224,variant
362,216,207,baseline
363,231,90,baseline
364,216,217,variant
365,213,196,baseline
366,211,225,variant
367,231,136,baseline
368,200,226,variant
369,205,222,variant
370,172,226,variant
371,179,228,variant
372,206,131,baseline
373,174,217,variant
374,216,199,baseline
375,162,220,variant
376,231,105,baseline
377,165,218,variant
378,145,213,variant
379,204,122,baseline
380,218,226,variant
381,118,218,variant
382,168,204,variant
383,201,201,tie
384,146,222,variant
385,218,140,baseline
386,134,225,variant
387,218,190,baseline
388,187,219,variant
389,207,153,baseline
390,203,192,baseline
391,208,155,baseline
392,122,205,variant
393,206,201,baseline
394,167,201,variant
395,108,225,variant
396,128,231,variant
397,215,129,baseline
398,201,145,baseline
399,202,173,baseline
400,147,209,variant
401,94,205,variant
402,216,125,baseline
403,197,218,variant
404,177,208,variant
405,202,220,variant
406,144,206,variant
407,218,213,baseline
408,90,219,variant
409,182,227,variant
410,60,205,variant
411,196,216,variant
412,76,228,variant
413,182,227,variant
414,179,210,variant
415,219,114,baseline
416,119,217,variant
417,216,165,baseline
418,200,128,baseline
419,208,52,baseline
420,200,158,baseline
421,209,190,baseline
422,207,141,baseline
423,231,136,baseline
424,220,192,baseline
425,214,107,baseline
426,165,204,variant
427,197,205,variant
428,213,124,baseline
429,227,214,baseline
430,205,92,baseline
431,223,218,baseline
432,181,217,variant
433,242,166,baseline
434,150,212,variant
435,227,227,tie
436,201,198,baseline
437,210,84,baseline
438,227,184,baseline
439,201,122,baseline
440,204,102,baseline
441,218,122,baseline
442,212,156,baseline
443,216,171,baseline
444,231,195,baseline
445,223,163,baseline
446,101,217,variant
447,216,205,baseline
448,146,210,variant
449,204,158,baseline
450,108,241,variant
451,198,221,variant
452,211,182,baseline
453,94,210,variant
454,216,185,baseline
455,230,199,baseline
456,227,147,baseline
457,146,218,variant
458,218,202,baseline
459,195,212,variant
460,179,202,variant
461,207,153,baseline
462,253,196,baseline
463,164,210,variant
464,228,170,baseline
465,220,162,baseline
466,209,143,baseline
467,122,209,variant
468,161,226,variant
469,117,219,variant
470,213,140,baseline
471,195,202,variant
472,236,223,baseline
473,177,218,variant
474,137,204,variant
475,145,222,variant
476,136,215,variant
477,159,210,variant
478,240,169,baseline
479,128,208,variant
480,147,210,variant
481,219,226,variant
482,161,208,variant
483,155,206,variant
484,137,207,variant
485,135,203,variant
486,160,207,variant
487,230,198,baseline
488,201,181,baseline
489,160,224,variant
490,109,200,variant
491,122,221,variant
492,86,209,variant
493,142,226,variant
494,205,102,baseline
495,157,211,variant
496,89,229,variant
497,165,228,variant
498,134,214,variant
499,228,143,baseline
500,257,185,baseline
501,212,192,baseline
502,193,214,variant
503,215,188,baseline
504,188,220,variant
505,203,219,variant
506,219,192,baseline
507,210,117,baseline
508,230,128,baseline
509,177,230,variant
510,114,207,variant
511,268,209,baseline
512,170,208,variant
513,111,209,variant
514,229,216,baseline
515,144,215,variant
516,153,222,variant
517,51,226,variant
518,205,176,baseline
519,192,213,variant
520,217,148,baseline
521,201,140,baseline
522,127,211,variant
523,84,231,variant
524,190,215,variant
525,214,166,baseline
526,170,216,variant
527,211,192,baseline
528,76,211,variant
529,223,181,baseline
530,215,183,baseline
531,170,222,variant
532,128,209,variant
533,200,159,baseline
534,80,208,variant
535,205,78,baseline
536,187,226,variant
537,215,196,baseline
538,117,213,variant
539,93,200,variant
540,241,161,baseline
541,201,197,baseline
542,209,81,baseline
543,74,206,variant
544,242,205,baseline
545,130,215,variant
546,142,234,variant
547,187,210,variant
548,189,210,variant
549,170,217,variant
550,224,178,baseline
551,221,169,baseline
552,215,186,baseline
553,57,217,variant
554,119,211,variant
555,203,112,baseline
556,177,211,variant
557,155,200,variant
558,212,169,baseline
559,110,216,variant
560,203,179,baseline
561,174,207,variant
562,212,106,baseline
563,229,87,baseline
564,204,198,baseline
565,162,214,variant
566,0,224,variant
567,155,221,variant
568,217,163,baseline
569,214,137,baseline
570,152,229,variant
571,200,170,baseline
572,212,157,baseline
573,74,203,variant
574,174,222,variant
575,153,214,variant
576,183,216,variant
577,206,111,baseline
578,166,217,variant
579,209,198,baseline
580,231,217,baseline
581,205,190,baseline
582,183,218,variant
583,139,208,variant
584,111,200,variant
585,111,207,variant
586,223,80,baseline
587,207,138,baseline
588,203,166,baseline
589,198,219,variant
590,47,210,variant
591,105,208,variant
592,169,208,variant
593,134,208,variant
594,210,167,baseline
595,95,203,variant
596,228,113,baseline
597,241,202,baseline
598,225,130,baseline
599,214,127,baseline
600,174,222,variant
601,202,175,baseline
602,226,160,baseline
603,222,146,baseline
604,201,147,baseline
605,78,200,variant
606,214,198,baseline
607,193,211,variant
608,231,171,baseline
609,211,143,baseline
610,227,127,baseline
611,204,34,baseline
612,166,225,variant
613,99,203,variant
614,113,211,variant
615,176,206,variant
616,111,219,variant
617,225,163,baseline
618,174,207,variant
619,197,201,variant
620,191,207,variant
621,143,212,variant
622,148,225,variant
623,105,232,variant
624,228,93,baseline
625,204,172,baseline
626,103,220,variant
627,136,226,variant
628,78,224,variant
629,173,209,variant
630,156,207,variant
631,157,202,variant
632,145,208,variant
633,96,216,variant
634,238,223,baseline
635,228,214,baseline
636,201,171,baseline
637,185,230,variant
638,202,194,baseline
639,200,106,baseline
640,94,208,variant
641,201,128,baseline
642,212,137,baseline
643,166,207,variant
644,210,189,baseline
645,37,206,variant
646,97,207,variant
647,190,223,variant
648,177,229,variant
649,230,127,baseline
650,222,111,baseline
651,111,220,variant
652,225,100,baseline
653,208,145,baseline
654,161,220,variant
655,155,210,variant
656,84,215,variant
657,160,227,variant
658,138,214,variant
659,167,226,variant
660,188,200,variant
661,211,194,baseline
662,200,164,baseline
663,207,198,baseline
664,214,191,baseline
665,201,210,variant
666,203,214,variant
667,225,178,baseline
668,190,202,variant
669,192,207,variant
670,211,218,variant
671,34,205,variant
672,184,213,variant
673,186,211,variant
674,222,185,baseline
675,102,231,variant
676,135,226,variant
677,127,217,variant
678,115,219,variant
679,117,217,variant
680,204,181,baseline
681,150,205,variant
682,217,216,baseline
683,232,105,baseline
684,154,211,variant
685,128,219,variant
686,152,213,variant
687,227,214,baseline
688,118,208,variant
689,231,103,baseline
690,206,199,baseline
691,112,206,variant
692,237,157,baseline
693,159,201,variant
694,195,223,variant
695,158,220,variant
696,132,210,variant
697,204,218,variant
698,213,198,baseline
699,217,142,baseline
700,210,183,baseline
701,161,221,variant
702,153,214,variant
703,221,184,baseline
704,164,223,variant
705,206,176,baseline
706,106,202,variant
707,158,217,variant
708,233,189,baseline
709,219,114,baseline
710,104,211,variant
711,214,203,baseline
712,223,203,baseline
713,236,143,baseline
714,164,213,variant
715,129,207,variant
716,142,208,variant
717,104,208,variant
718,209,138,baseline
719,134,230,variant
720,182,219,variant
721,210,164,baseline
722,102,235,variant
723,53,221,variant
724,203,172,baseline
725,72,244,variant
726,158,219,variant
727,195,204,variant
728,155,233,variant
729,211,106,baseline
730,176,204,variant
731,164,220,variant
732,101,219,variant
733,206,170,baseline
734,148,201,variant
735,207,145,baseline
736,166,210,variant
737,118,219,variant
738,75,200,variant
739,229,217,baseline
740,182,208,variant
741,252,221,baseline
742,115,225,variant
743,156,221,variant
744,228,63,baseline
745,128,205,variant
746,160,214,variant
747,185,202,variant
748,203,228,variant
749,175,221,variant
750,132,218,variant
751,101,201,variant
752,186,205,variant
753,201,166,baseline
754,209,134,baseline
755,108,211,variant
756,157,223,variant
757,253,208,baseline
758,208,213,variant
759,195,213,variant
760,135,210,variant
761,174,215,variant
762,146,203,variant
763,182,219,variant
764,177,213,variant
765,204,204,tie
766,224,144,baseline
767,226,212,baseline
768,186,222,variant
769,237,186,baseline
770,118,226,variant
771,230,133,baseline
772,216,234,variant
773,217,160,baseline
774,180,223,variant
775,228,227,baseline
776,201,153,baseline
777,223,135,baseline
778,204,195,baseline
779,244,137,baseline
780,21,200,variant
781,167,204,variant
782,112,208,variant
783,197,221,variant
784,219,131,baseline
785,204,218,variant
786,194,205,variant
787,158,234,variant
788,214,149,baseline
789,66,229,variant
790,167,209,variant
791,222,124,baseline
792,122,227,variant
793,148,205,variant
794,89,202,variant
795,186,219,variant
796,212,171,baseline
