Game,Baseline score,Variant score,Winner
334,196,208,variant
335,230,142,baseline
336,220,198,baseline
337,231,156,baseline
338,210,98,baseline
339,215,33,baseline
340,154,266,variant
341,147,218,variant
342,171,235,variant
343,207,144,baseline
344,170,218,variant
345,171,227,variant
346,224,181,baseline
347,227,217,baseline
348,202,121,baseline
349,136,210,variant
350,152,233,variant
351,220,233,variant
352,209,114,baseline
353,70,223,variant
354,223,134,baseline
355,198,202,variant
356,236,89,baseline
357,206,86,baseline
358,125,218,variant
359,197,237,variant
360,260,50,baseline
361,102,207,variant
362,229,173,baseline
363,179,205,variant
364,223,146,baseline
365,230,155,baseline
366,226,66,baseline
367,237,212,baseline
368,153,206,variant
369,206,164,baseline
370,128,221,variant
371,198,220,variant
372,208,198,baseline
373,217,111,baseline
374,236,174,baseline
375,23,207,variant
376,236,179,baseline
377,180,203,variant
378,96,201,variant
379,209,139,baseline
380,210,190,baseline
381,176,230,variant
382,164,212,variant
383,61,227,variant
384,182,229,variant
385,204,155,baseline
386,70,214,variant
387,211,179,baseline
388,233,148,baseline
389,242,163,baseline
390,179,222,variant
391,147,216,variant
392,222,171,baseline
393,214,141,baseline
394,185,206,variant
395,225,44,baseline
396,182,222,variant
397,206,100,baseline
398,226,93,baseline
399,220,164,baseline
400,219,161,baseline
401,214,97,baseline
402,165,205,variant
403,218,53,baseline
404,240,167,baseline
405,226,199,baseline
406,200,80,baseline
407,211,197,baseline
408,204,96,baseline
409,156,203,variant
410,222,206,baseline
411,130,203,variant
412,233,168,baseline
413,229,26,baseline
414,95,234,variant
415,108,219,variant
416,213,183,baseline
417,184,213,variant
418,217,187,baseline
419,28,206,variant
420,215,187,baseline
421,214,186,baseline
422,206,106,baseline
423,226,143,baseline
424,236,169,baseline
425,113,202,variant
426,126,208,variant
427,117,203,variant
428,226,126,baseline
429,182,213,variant
430,205,157,baseline
431,232,84,baseline
432,137,212,variant
433,212,110,baseline
434,210,118,baseline
435,216,187,baseline
436,216,69,baseline
437,188,209,variant
438,222,135,baseline
439,122,215,variant
440,230,145,baseline
441,224,179,baseline
442,146,201,variant
443,234,215,baseline
444,227,121,baseline
445,201,170,baseline
446,148,210,variant
447,209,21,baseline
448,213,148,baseline
449,208,199,baseline
450,211,163,baseline
451,74,212,variant
452,225,198,baseline
453,154,237,variant
454,215,117,baseline
455,211,187,baseline
456,228,211,baseline
457,202,111,baseline
458,128,214,variant
459,73,218,variant
460,204,94,baseline
461,207,137,baseline
462,205,134,baseline
463,61,224,variant
464,163,229,variant
465,221,157,baseline
466,208,205,baseline
467,220,140,baseline
468,226,195,baseline
469,238,169,baseline
470,124,208,variant
471,224,203,baseline
472,158,214,variant
473,200,159,baseline
474,100,222,variant
475,89,216,variant
476,115,206,variant
477,214,166,baseline
478,202,158,baseline
479,213,141,baseline
480,108,200,variant
481,231,188,baseline
482,119,232,variant
483,179,215,variant
484,205,125,baseline
485,48,240,variant
486,214,134,baseline
487,208,111,baseline
488,212,182,baseline
489,200,162,baseline
490,223,248,variant
491,221,169,baseline
492,211,154,baseline
493,205,186,baseline
494,205,220,variant
495,213,72,baseline
496,220,163,baseline
497,228,137,baseline
498,99,201,variant
499,201,165,baseline
500,226,198,baseline
501,46,233,variant
502,228,208,baseline
503,202,111,baseline
504,214,186,baseline
505,159,208,variant
506,206,159,baseline
507,180,204,variant
508,205,144,baseline
509,209,66,baseline
510,208,186,baseline
511,209,62,baseline
512,217,140,baseline
513,114,219,variant
514,124,236,variant
515,49,204,variant
516,125,227,variant
517,97,225,variant
518,138,237,variant
519,227,221,baseline
520,235,164,baseline
521,190,219,variant
522,175,203,variant
523,125,204,variant
524,241,176,baseline
525,123,220,variant
526,201,108,baseline
527,112,204,variant
528,119,207,variant
529,178,236,variant
530,146,211,variant
531,213,161,baseline
532,194,208,variant
533,216,133,baseline
534,207,23,baseline
535,173,207,variant
536,181,215,variant
537,169,213,variant
538,217,59,baseline
539,105,227,variant
540,218,183,baseline
541,214,173,baseline
542,141,210,variant
543,209,224,variant
544,100,204,variant
545,180,217,variant
546,231,88,baseline
547,226,88,baseline
548,72,212,variant
549,221,121,baseline
550,212,190,baseline
551,64,203,variant
552,209,137,baseline
553,206,125,baseline
554,144,228,variant
555,229,214,baseline
556,97,209,variant
557,204,142,baseline
558,215,132,baseline
559,151,206,variant
560,212,156,baseline
561,200,177,baseline
562,217,148,baseline
563,220,184,baseline
564,96,217,variant
565,187,222,variant
566,161,208,variant
567,153,224,variant
568,231,27,baseline
569,196,225,variant
570,161,207,variant
571,131,245,variant
572,226,49,baseline
573,206,156,baseline
574,228,89,baseline
575,144,217,variant
576,201,134,baseline
577,132,225,variant
578,185,238,variant
579,224,197,baseline
580,31,203,variant
581,195,209,variant
582,105,222,variant
583,66,212,variant
584,166,206,variant
585,216,199,baseline
586,167,201,variant
587,186,232,variant
588,185,228,variant
589,208,80,baseline
590,152,228,variant
591,196,225,variant
592,203,184,baseline
593,193,222,variant
594,177,211,variant
595,200,175,baseline
596,203,213,variant
597,108,220,variant
598,240,191,baseline
599,228,192,baseline
600,234,115,baseline
601,153,202,variant
602,204,187,baseline
603,207,129,baseline
604,208,262,variant
605,230,183,baseline
606,180,202,variant
607,214,191,baseline
608,125,218,variant
609,223,188,baseline
610,208,163,baseline
611,175,216,variant
612,214,203,baseline
613,132,202,variant
614,130,208,variant
615,228,126,baseline
616,215,96,baseline
617,205,104,baseline
618,232,167,baseline
619,204,198,baseline
620,203,196,baseline
621,210,218,variant
622,81,207,variant
623,142,231,variant
624,143,237,variant
625,220,46,baseline
626,0,224,variant
627,202,149,baseline
628,189,227,variant
629,205,167,baseline
630,227,110,baseline
631,158,240,variant
632,144,208,variant
633,228,148,baseline
634,216,158,baseline
